ID,Movie Name,Rating,runtime_minutes,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link,Votes Percent Rank,Rating Percent Rank,Significance Score
5759,Star Wars: Episode I - The Phantom Menace,6.5,136,136 min,"Action, Adventure, Fantasy",51,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","['George Lucas', 'Ewan McGregor', 'Liam Neeson', 'Natalie Portman', 'Jake Lloyd']","['Ewan McGregor', 'Liam Neeson', 'Natalie Portman', 'Jake Lloyd']",826229,474544677,https://www.imdb.com/title/tt0120915/,0.99,0.385,1.375
5338,Star Wars: Episode II - Attack of the Clones,6.6,142,142 min,"Action, Adventure, Fantasy",54,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.","['George Lucas', 'Hayden Christensen', 'Natalie Portman', 'Ewan McGregor', 'Christopher Lee']","['Hayden Christensen', 'Natalie Portman', 'Ewan McGregor', 'Christopher Lee']",730831,310675583,https://www.imdb.com/title/tt0121765/,0.986,0.426,1.412
6168,Batman v Superman: Dawn of Justice,6.4,151,151 min,"Action, Adventure, Sci-Fi",44,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","['Zack Snyder', 'Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg']","['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg']",713290,330360194,https://www.imdb.com/title/tt2975590/,0.986,0.344,1.33
7982,Suicide Squad,5.9,123,123 min,"Action, Adventure, Fantasy",40,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"['David Ayer', 'Will Smith', 'Jared Leto', 'Margot Robbie', 'Viola Davis']","['Will Smith', 'Jared Leto', 'Margot Robbie', 'Viola Davis']",700299,325100054,https://www.imdb.com/title/tt1386697/,0.985,0.176,1.161
6566,Spider-Man 3,6.3,139,139 min,"Action, Adventure, Sci-Fi",59,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","['Sam Raimi', 'Tobey Maguire', 'Kirsten Dunst', 'Topher Grace', 'Thomas Haden Church']","['Tobey Maguire', 'Kirsten Dunst', 'Topher Grace', 'Thomas Haden Church']",609667,336530303,https://www.imdb.com/title/tt0413300/,0.979,0.305,1.284
5353,Pirates of the Caribbean: On Stranger Tides,6.6,136,136 min,"Action, Adventure, Fantasy",45,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.","['Rob Marshall', 'Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Geoffrey Rush']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Geoffrey Rush']",542492,241063875,https://www.imdb.com/title/tt1298650/,0.974,0.426,1.4
5347,X-Men: The Last Stand,6.6,104,104 min,"Action, Adventure, Sci-Fi",58,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.","['Brett Ratner', 'Patrick Stewart', 'Hugh Jackman', 'Halle Berry', 'Famke Janssen']","['Patrick Stewart', 'Hugh Jackman', 'Halle Berry', 'Famke Janssen']",527576,234362462,https://www.imdb.com/title/tt0376994/,0.973,0.426,1.399
4967,The Matrix Revolutions,6.7,129,129 min,"Action, Sci-Fi",47,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,"['Lana Wachowski', 'Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']","['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",526460,139313948,https://www.imdb.com/title/tt0242653/,0.972,0.469,1.441
5325,The Amazing Spider-Man 2,6.6,142,142 min,"Action, Adventure, Sci-Fi",53,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","['Marc Webb', 'Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Paul Giamatti']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Paul Giamatti']",514181,202853933,https://www.imdb.com/title/tt1872181/,0.972,0.426,1.398
5840,The Hangover Part II,6.5,102,102 min,Comedy,44,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.","['Todd Phillips', 'Bradley Cooper', 'Zach Galifianakis', 'Ed Helms', 'Justin Bartha']","['Bradley Cooper', 'Zach Galifianakis', 'Ed Helms', 'Justin Bartha']",515049,254464305,https://www.imdb.com/title/tt1411697/,0.972,0.385,1.357
